Result is false
2	-0.999999999767169	33
4	-0.999999999767169	33
6	-1.00000000005821	35
8	-1.00000000005821	35
10	-1.00000000005821	35
12	-1.00000000005821	35
14	-1.00000000005821	35
16	-1.00000000005821	35
18	-0.999999999985448	37
20	-0.999999999985448	37
22	-0.999999999985448	37
24	-0.999999999985448	37
26	-0.999999999985448	37
28	-0.999999999985448	37
30	-0.999999999985448	37
32	-0.999999999985448	37
34	-0.999999999985448	37
36	-0.999999999985448	37
38	-0.999999999985448	37
40	-0.999999999985448	37
42	-0.999999999985448	37
44	-0.999999999985448	37
46	-0.999999999985448	37
48	-0.999999999985448	37
50	-0.999999999985448	37
52	-0.999999999985448	37
54	-0.999999999985448	37
56	-0.999999999985448	37
58	-0.999999999985448	37
60	-0.999999999985448	37
62	-0.999999999985448	37
64	-0.999999999985448	37
66	-0.999999999985448	37
68	-0.999999999985448	37
70	-1.00000000000364	39
72	-1.00000000000364	39
74	-1.00000000000364	39
76	-1.00000000000364	39
78	-1.00000000000364	39
80	-1.00000000000364	39
82	-1.00000000000364	39
84	-1.00000000000364	39
86	-1.00000000000364	39
88	-1.00000000000364	39
90	-1.00000000000364	39
92	-1.00000000000364	39
94	-1.00000000000364	39
96	-1.00000000000364	39
98	-1.00000000000364	39
100	-1.00000000000364	39

0	nan	1
2	-1.00000000001405	7
4	-1.00000000000147	12
6	-1.0	17
8	-1.0	22
10	-1.00000000000031	26
12	-1.0	31
14	-1.00000000001278	35
16	-1.00000000000001	40
18	-1.0	45
20	-1.00000000000055	49
22	-1.0	54
24	-1.00000000001687	58
26	-1.00000000000002	63
28	-1.0	68
30	-1.00000000000074	72
32	-1.0	77
34	-1.00000000002076	81
36	-1.00000000000002	86
38	-1.0	91
40	-1.00000000000097	95
42	-1.0	100
44	-1.0	105
46	-1.00000000000003	109
48	-1.0	114
50	-1.00000000000129	118
52	-1.0	123
54	-1.0	128
56	-1.00000000000005	132
58	-1.0	137
60	-1.00000000000173	141
62	-1.0	146
64	-1.0	151
66	-1.00000000000007	155
68	-1.0	160
70	-1.00000000000233	164
72	-1.0	169
74	-1.0	174
76	-1.00000000000009	178
78	-1.0	183
80	-1.00000000000315	187
82	-1.0	192
84	-1.0	197
86	-1.00000000000013	201
88	-1.0	206
90	-1.00000000000427	210
92	-1.0	215
94	-1.0	220
96	-1.00000000000019	224
98	-1.0	229
100	-1.0000000000058	233

0	nan	1
2	-1.00000000001405	7
4	-1.00000000000147	12
6	-1.0	17
8	-1.0	22
10	-1.00000000000031	26
12	-1.00000000005821	35
14	-1.00000000005821	35
16	-1.00000000005821	35
18	-0.999999999985448	37
20	-0.999999999985448	37
22	-0.999999999985448	37
24	-0.999999999985448	37
26	-0.999999999985448	37
28	-0.999999999985448	37
30	-0.999999999985448	37
32	-0.999999999985448	37
34	-0.999999999985448	37
36	-0.999999999985448	37
38	-0.999999999985448	37
40	-0.999999999985448	37
42	-0.999999999985448	37
44	-0.999999999985448	37
46	-0.999999999985448	37
48	-0.999999999985448	37
50	-0.999999999985448	37
52	-0.999999999985448	37
54	-0.999999999985448	37
56	-0.999999999985448	37
58	-0.999999999985448	37
60	-0.999999999985448	37
62	-0.999999999985448	37
64	-0.999999999985448	37
66	-0.999999999985448	37
68	-0.999999999985448	37
70	-1.00000000000364	39
72	-1.00000000000364	39
74	-1.00000000000364	39
76	-1.00000000000364	39
78	-1.00000000000364	39
80	-1.00000000000364	39
82	-1.00000000000364	39
84	-1.00000000000364	39
86	-1.00000000000364	39
88	-1.00000000000364	39
90	-1.00000000000364	39
92	-1.00000000000364	39
94	-1.00000000000364	39
96	-1.00000000000364	39
98	-1.00000000000364	39
100	-1.00000000000364	39

